ID,School,Common Name,Nickname,City,State,Type,Subdivision,Primary Conference,Tournament appearances,Final Four appearances,Championship wins
159,Portland State University,Portland State,Vikings,Portland,OR,Public,FCS,Big Sky Conference,2,0,0
160,Prairie View A&M University,Prairie View A&M,Panthers,Prairie View,TX,Public,FCS,Southwestern Athletic Conference,2,0,0
161,Presbyterian College,Presbyterian,Blue Hose,Clinton,SC,Private,FCS,Big South Conference,0,0,0
162,Princeton University,Princeton,Tigers,Princeton,NJ,Private,FCS,Ivy League,26,1,0
163,Providence College,Providence,Friars,Providence,RI,Private,Non-football,Big East Conference,22,2,0
164,Purdue University,Purdue,Boilermakers,West Lafayette,IN,Public,FBS,Big Ten Conference,34,2,0
165,Purdue University Fort Wayne,Purdue Fort Wayne,Mastodons,Fort Wayne,IN,Public,Non-football,Horizon League,0,0,0
166,Queens University of Charlotte,Queens,Royals,Charlotte,NC,Private,Non-football,ASUN Conference,0,0,0
167,Quinnipiac University,Quinnipiac,Bobcats,Hamden,CT,Private,Non-football,Metro Atlantic Athletic Conference,0,0,0
168,Radford University,Radford,Highlanders,Radford,VA,Public,Non-football,Big South Conference,3,0,0
169,Rider University,Rider,Broncs,Lawrenceville,NJ,Private,Non-football,Metro Atlantic Athletic Conference,3,0,0
170,Robert Morris University,Robert Morris,Colonials,Moon,PA,Private,FCS,Horizon League,8,0,0
171,Rutgers University–New Brunswick,Rutgers,Scarlet Knights,New Brunswick,NJ,Public,FBS,Big Ten Conference,8,1,0
172,Sacred Heart University,Sacred Heart,Pioneers,Fairfield,CT,Private,FCS,Northeast Conference,0,0,0
173,Saint Bonaventure University,St. Bonaventure,Bonnies,Saint Bonaventure,NY,Private,Non-football,Atlantic 10 Conference,8,1,0
174,Saint Francis University,Saint Francis (PA),Red Flash,Loretto,PA,Private,FCS,Northeast Conference,1,0,0
175,Saint John's University,St. John's,Red Storm,Queens,NY,Private,Non-football,Big East Conference,30,2,0
176,Saint Joseph's University,Saint Joseph's,Hawks,Philadelphia,PA,Private,Non-football,Atlantic 10 Conference,21,1,0
177,Saint Louis University,Saint Louis,Billikens,Saint Louis,MO,Private,Non-football,Atlantic 10 Conference,10,0,0
178,Saint Mary's College of California,Saint Mary's,Gaels,Moraga,CA,Private,Non-football,West Coast Conference,12,0,0
179,Saint Peter's University,Saint Peter's,Peacocks,Jersey City,NJ,Private,Non-football,Metro Atlantic Athletic Conference,4,0,0
180,Sam Houston State University,Sam Houston,Bearkats,Huntsville,TX,Public,FBS,Conference USA,2,0,0
